date,source.name,title,description,content,title_len,description_len
2026-06-23,Dailymail.com,Jordan Pickford's wife Megan is finally reunited with her suitcase ahead of England's second World Cup match after airline lost her luggage,England WAG Megan Pickford has shared a win of her own ahead of England's next World Cup match.,"England WAG Megan Pickford has shared a win of her own ahead of England's next World Cup match.
The wife of England goalkeeper Jordan Pickford has finally been reunited with her suitcase, a week aft… [+5560 chars]",139,95
2026-06-22,The Points Guy,Qatar Airways has just made it more difficult to book Qsuite for companions with your transferable credit card points,"Qatar Airways now requires a 30-day-old Privilege Club account before you can redeem Avios for a companion's Qsuite seat, but work-arounds exist.","If you plan on transferring your credit card points to Qatar Airways Privilege Club to book the airline's award-winning Qsuite business-class product for family and friends, the program has just intr… [+4584 chars]",117,145
2026-06-22,Livemint,Air India brings back ex-CMD Pradeep Kharola amid CEO transition plan,"In a message to employees on Monday evening, outgoing CEO Campbell Wilson announced that Kharola would join the airline with immediate effect as executive advisor to the chairman and become a full member of Air India's management committee.","Air India has brought back former chairman and managing director Pradeep Singh Kharola to its senior management team, signalling the start of a planned leadership transition as chief executive Campbe… [+2514 chars]",69,240
2026-06-22,Viewfromthewing.com,"Bilt Rewards Adds Transfers To Preferred Hotels: Useful, But Needs A Bonus To Shine","Bilt Rewards has added Preferred Hotels & Resorts’ I Prefer program as a 1:2 transfer partner, matching Capital One, Citi, and Alaska Atmos Summit cardholders. It is a useful new option for independent hotels, but at this ratio the value is situational — unle…","Bilt Rewards has added Preferred Hotels &amp; Resorts Prefer Hotel Rewards as a 1:2 transfer partner. Currently,
<ul><li>Capital One and Citibank transfer to Preferred Hotels I Prefer at 1:2.</li><l… [+2638 chars]",83,260
2026-06-22,The-independent.com,"Purposeful travel: Reset and restore in Costa Rica through eco-tourism, wellbeing and wild nature","Explore biodiverse rainforests, protected coastlines and the Nicoya Peninsula Blue Zone in a meaningful way – rooted in conservation, cultural connection and intentional living","Costa Rica occupies a stretch of Central America, bordered by both the Pacific Ocean and Caribbean Sea. Here, youll discover a slower pace of life that is highly attuned to nature: mornings are set b… [+7167 chars]",97,176
2026-06-22,The Times of India,"Tech, crypto firms to help tackle illegal wildlife trade",Announcement made as part of a business forum convened by Prince William ‌and ⁠The Royal ⁠Foundation's United for Wildlife during London Climate Action Week.,"group of leading international technology, crypto and other businesses on Monday announced plans to help stamp out the illegal trade in wildlife.Announcement made as part of a business forum convened… [+1181 chars]",56,157
2026-06-22,Crypto Briefing,"Google, Meta, PayPal, and Chainalysis team up to fight illegal wildlife trade with AI and blockchain","This collaboration could redefine tech's role in environmental protection, expanding blockchain's utility and enhancing AI's impact on global issues.
The post Google, Meta, PayPal, and Chainalysis team up to fight illegal wildlife trade with AI and blockchain…",A coalition of tech giants and crypto firms pledged to use AI detection and blockchain analytics to disrupt a trade worth up to $23 billion annually. Think of the illegal wildlife trade as the intern… [+2478 chars],100,260
2026-06-22,The Times of India,"Credit card points: How to use them for free flights, hotel stays, and better travel rewards","Travellers should also remember that loyalty program transfers are generally irreversible. Before moving points to an airline or a hotel program, it is advisable to confirm award availability and understand the redemption rules. Airline miles can also expire …","For frequent travellers, credit card reward points can be worth far more than the cashback or vouchers they are often redeemed for. With the right strategy, points earned from everyday spending can h… [+4181 chars]",92,260
2026-06-22,Radaronline.com,EXCLUSIVE: Disgraced Andrew Windsor Accused of 'Grabbing and Grinding Himself Against' Air Stewardess in Latest Sleaze Allegation Aimed at Lewd Royal Pariah,Disgraced Andrew Windsor faced fresh air stewardess allegations.,"The latest claims about his alleged life of sleaze have been aired by royal author Andrew Lownie.
He recently released an updated paperback edition of his book, Entitled: The Rise and Fall of the Ho… [+2404 chars]",156,64
2026-06-21,The Points Guy,"After more than 16 years, why the Chase Sapphire Preferred should still be your first rewards card","Why the Chase Sapphire Preferred, even after its 2026 refresh, is the best card to apply for first to start your rewards credit card journey.","I've been in the world of points and miles for a long time, and I've been asked more times than I can count which rewards credit card travelers should get first.
My answer is almost always the same:… [+10575 chars]",98,141
2026-06-21,The Points Guy,Why the Atmos Rewards Summit Visa is one of the best credit cards for expats,The Atmos Rewards Summit Visa Infinite Card is built for expats. It delivers strong points earning and useful rewards for those living outside of the U.S.,"When I am asked for my opinion on the top credit cards for expats, I am usually met with surprised looks when I suggest the Atmos Rewards Summit Visa Infinite® credit card.
This is because most peop… [+8904 chars]",76,154
2026-06-20,The Points Guy,Chase Sapphire Preferred vs. Bilt Obsidian Card: Which $95 card is right for you?,"Chase Sapphire Preferred and Bilt Obsidian both charge earn transferable points for $95, but they reward different spenders. Here's how to pick the right one.","If you're weighing popular mid-tier travel cards, the Chase Sapphire Preferred® Card (see rates and fees) and Bilt Obsidian Card (see rates and fees) are solid options.
These cards each have a $95 a… [+17275 chars]",81,158
2026-06-20,Fly4free.com,PRICE DROP  British Airways direct flights from London to exotic Saint Lucia & Antigua and Barbuda ️ from £469,"With non-stop flights by British Airways, this exotic country, washed by the Caribbean Sea and the Atlantic Ocean, is opening up to regular travelers like never before.","With non-stop flights by British Airways, this exotic country, washed by the Caribbean Sea and the Atlantic Ocean, is opening up to regular travelers like never before.Antigua and Barbuda is the kind… [+3259 chars]",110,168
2026-06-20,Britbrief.co.uk,BA Passengers Endure 13-Hour Flight with Deceased Woman's Body Near Heated Galley,"BA flight from Hong Kong to Heathrow had a dead woman's body near a heated galley, causing a foul smell for 13 hours. Police met the plane.","Passengers on a British Airways flight from Hong Kong to Heathrow complained of a foul smell after a womans body was left next to a heated galley for much of the 13-hour journey. The woman, in her 60… [+1108 chars]",81,139
2026-06-19,The Points Guy,The best Chase credit cards to add to your wallet,"Ready to apply for your next credit card? Consider one issued by Chase. There are great options suitable for every type of budget, spender and lifestyle.","Chase credit cards have always held a special place in my heart and my wallet. My very first credit card, the United Explorer Card (see rates and fees), was a Chase product, and it introduced me to t… [+21171 chars]",49,153
2026-06-19,Boardingarea.com,TRIP REPORT: What you might have missed from Aircraft Interiors Expo – More Innovations in Hamburg,"What you might have missed from Aircraft Interiors Expo 2026 TRIP REPORT: More Innovations in Hamburg In this week of passenger experience fun: Back to Hamburg Again. And yes, keeping it simple To Heathrow Airport with FlixBus and Terminal 5 British Airways G…","What you might have missed from Aircraft Interiors Expo 2026TRIP REPORT: More Innovations in Hamburg
In this week of passenger experience fun:
Time for a wrap-up of what we covered at Aircraft Inte… [+1170 chars]",98,260
2026-06-19,Theflightdeal.com,"American: Phoenix – Warsaw, Poland. $745 (Basic Economy) / $965 (Regular Economy). Roundtrip, including all Taxes",A good sale to WarsawAmerican / British Airways / Finnair / Iberia's $965 fare is a regular economy fare with ONE checked bag and a normal size carry-on includedAmerican / British Airways / Fi,"A good sale to Warsaw
American / British Airways / Finnair / Iberias $965 fare is a regular economy fare with ONE checked bag and a normal size carry-on included
American / British Airways / Finnai… [+5734 chars]",113,192
2026-06-19,The Points Guy,"Book immediately: Wide open Delta One business-class availability to Europe this summer for 115,000 SkyMiles plus $5.60","Score wide-open Delta One award space to Europe this summer for 115,000 SkyMiles plus $5.60, with seats available from June through August 2026.","If you have Delta SkyMiles or American Express Membership Rewards points and are looking to fly to Europe in lie-flat comfort this summer for the price of a cup of coffee plus miles, stop what you ar… [+4888 chars]",119,144
2026-06-19,Holidaypirates.com,The UK Foreign Office drops advice against travel to Dubai,"The UK Foreign Office has dropped its ""do not travel"" advice for Dubai and the UAE — and if you've been holding off on booking, here's everything you need to know right now.The news many holiday planners have been waiting for: the Foreign, Commonwealth & Deve…","Several major carriers suspended flights when the conflict broke out, and not all of them are racing to get back in the air:
Virgin Atlantic suspended Dubai flights and has pushed its restart date t… [+458 chars]",58,260
2026-06-19,Viewfromthewing.com,"FAA Lets Airlines Keep New York Airport Slots Without Flying, Blocking Competition Another Year","The FAA is letting airlines keep New York airport slots through 2027 even if they do not operate the flights, preserving incumbent control at JFK, LaGuardia, and Newark. The waivers are justified by air traffic control staffing problems, but they also block c…",The FAA granted the airline industry lobby group’s request to let carriers keep their current exclusive rights to fly at New York airports without actually offering flights to passengers for another … [+15106 chars],95,260
2026-06-19,The Times of India,"Dubai, Middle East travel warning: Have airlines resumed flight operations?","Travel warning for Dubai, Middle East: Iran deal and the imminent reopening of Strait of Hormuz have led to possibility about situation returning to normalcy.",Iran deal has been signed by U. S President Donald Trump to reopen Strait of Hormuz. Now flying in and out of that region is under scanner. Some airlines are restoring flights to parts of the Middle … [+4371 chars],75,158
2026-06-18,Japan Today,Smartphone catches fire on flight leaving Haneda airport,"A smartphone caught fire on a British Airways flight on Thursday as it was taxiing for takeoff at Tokyo's Haneda airport, but there were no injuries among the 211 passengers and crew onboard, Japan's transport ministry said. According to the ministry's Tokyo …","A smartphone caught fire on a British Airways flight on Thursday as it was taxiing for takeoff at Tokyo's Haneda airport, but there were no injuries among the 211 passengers and crew onboard, Japan's… [+703 chars]",56,260
2026-06-18,Theflightdeal.com,"American / Finnair: Phoenix – Helsinki, Finland. $739 (Basic Economy) / $959 (Regular Economy). Roundtrip, including all Taxes",A good sale to Helsinki.American / British Airways / Finnair / Iberia's $959 fare is a regular economy fare with ONE checked bag and a normal size carry-onAmerican / British Airways / Finnair,"A good sale to Helsinki.
American / British Airways / Finnair / Iberias $959 fare is a regular economy fare with ONE checked bag and a normal size carry-on
American / British Airways / Finnair / Ib… [+5358 chars]",126,191
2026-06-18,Moby.co,easyJet’s Takeover Hopes Hit Turbulence,The corporate skies over Europe have darkened for budget carriers hoping a legacy giant might absorb them from the cold.,"easyJet's Takeover Hopes Hit Turbulence - Moby
THE GIST
Our analysts just identified a stock with the potential to be the next Nvidia. Tell us how you invest and we'll show you why it's our #1 pick… [+6170 chars]",39,120
2026-06-18,Thebulkheadseat.com,Chase Sapphire Lounge Planned for Miami International Airport (MIA),"Miami International Airport (MIA) may soon have a new premium lounge offering, as plans…",6Advertiser &amp; Editorial Disclosure: The Bulkhead Seat earns an affiliate commission for anyone approved through the links below. This compensation may impact how and where links appear on this si… [+3494 chars],67,88
2026-06-18,Internet,The Scripts on Your Checkout Page Are Now a PCI DSS Problem,"An independent PCI assessor tested Reflectiz against the new PCI DSS rules. Here is the verdict: See the full QSA assessment here →

When a customer types their card number into your checkout, their browser is running far more than your code. Analytics tags, …","An independent PCI assessor tested Reflectiz against the new PCI DSS rules. Here is the verdict: See the full QSA assessment here →
When a customer types their card number into your checkout, their … [+2701 chars]",59,260
2026-06-18,Crankyflier.com,"Qantas Prepares to Break the 10,000 Mile Barrier",It is official. One of the last meaningful routes in the world that required a connection due to distance will be getting nonstop service starting in October 2027. Qantas has announced that is when the Sydney – London flight will begin on the Airbus A350-1000…,It is official. One of the last meaningful routes in the world that required a connection due to distance will be getting nonstop service starting in October 2027. Qantas has announced that is when t… [+5188 chars],48,260
2026-06-18,New York Post,Disability activist CEO Samanta Bullock denied boarding JFK British Airways flight over wheelchair,"Bullock, 47, says she has traveled alone for many years before she called out the alleged discrimination she faced from airline staffers.","Model and business executive Samanta Bullock claimed she was blocked from boarding a British Airways flight at JFK Airport because she was flying alone while using her wheelchair. 
Bullock, the foun… [+3785 chars]",98,137
2026-06-17,Theflightdeal.com,"American: Phoenix – Madrid, Spain. $710 (Basic Economy) / $930 (Regular Economy). Roundtrip, including all Taxes",A good sale to Madrid. Pricing will vary slightly depending on routing.American / British Airways / Finnair / Iberia's $930 fare is a regular economy fare with ONE checked bag and a normal size ca,"A good sale to Madrid. Pricing will vary slightly depending on routing.
American / British Airways / Finnair / Iberias $930 fare is a regular economy fare with ONE checked bag and a normal size carr… [+5791 chars]",112,196
2026-06-17,Biztoc.com,Aviation bosses are tired of reminding you about 2 crucial plane safety rules,"A British Airways Boeing 787.
John Keeble/Getty Images
Another battery fire on a plane once again highlighted a key danger of modern flying.
It came after a major aviation body launched a campaign telling people to ""save a life, not a bag.""
Aviation bosses ha…",A British Airways Boeing 787.John Keeble/Getty ImagesAnother battery fire on a plane once again highlighted a key danger of modern flying.It came after a major aviation body launched a campaign telli… [+142 chars],77,260
2026-06-17,Business Insider,Aviation bosses are tired of reminding you about 2 crucial plane safety rules,"""In an emergency, every second counts,"" an aviation body said as it launched a new campaign asking passengers to ""save a life, not a bag.""","A British Airways Boeing 787.John Keeble/Getty Images
<ul><li>Another battery fire on a plane once again highlighted a key danger of modern flying.</li><li>It came after a major aviation body launch… [+3455 chars]",77,138
2026-06-17,Business Insider,Aviation bosses are tired of reminding you about 2 crucial plane safety rules,"""In an emergency, every second counts,"" an aviation body said as it launched a new campaign asking passengers to ""save a life, not a bag.""","<ul><li>Another battery fire on a plane once again highlighted a key danger of modern flying.
</li><li>It came after a major aviation body launched a campaign telling people to ""save a life, not a b… [+3432 chars]",77,138
2026-06-17,Thelineofbestfit.com,Self Esteem live in London,"London's newest live music venue, British Airways ARC, opens its doors with a performance of Self Esteem's A Complicated Woman. Burak Cingi sends these pics.","London's newest live music venue, British Airways ARC, opens its doors with a performance of Self Esteem's A Complicated Woman. Burak Cingi sends these pics.",26,157
2026-06-17,Breaking NEWS in KENYA for Today Right Now & Kenyan News | TUKO,Mike Sonko’s Daughter Sandra Showcases First-Class Travel Experience to Nairobi: “I Ate 5 Plates”,"Join Sandra Mbuvi, daughter of former governor Mike Sonko, as she shares her luxurious first-class journey from London to Nairobi, highlighting airport perks.","<ul><li> Former Nairobi governor Mike Sonkos daughter Sandra Mbuvi documented her first-class journey to Nairobi from check-in, lounge access, to landing</li><li>She highlighted luxury airport perks,… [+3448 chars]",97,158
2026-06-17,Dailymail.com,How to avoid Middle East mayhem to reach incredible holiday spots in Asia and Australia - with flights as low as £438,"There is a savvy way around the high cost of jet fuel that can take you from the UK to Bali, Australia, Hong Kong and beyond. We share how...","Many holidaymakers may want to avoid layovers in the Middle East until travel advisories change, meaning it can be difficult to find a flight route to popular holiday spots in South-East Asia that do… [+5081 chars]",117,141
2026-06-17,Fox News,FDNY deploys 140+ personnel to JFK after Delta flight reported with flat tires on approach to landing,"Delta Flight 1966 from San Juan sparked a massive FDNY response at JFK after reports of landing gear trouble, but the airline says it was precautionary.",A Delta Air Lines flight arriving at New York's John F. Kennedy International Airport on Tuesday sparked a massive emergency response from the New York City Fire Department (FDNY) after initial repor… [+1223 chars],101,152
2026-06-17,The Times of India,Inside Cursor's journey to a $60 billion deal with Elon Musk’s SpaceX,"SpaceX has acquired AI coding assistant Cursor for $60 billion in an all-stock deal, significantly bolstering its AI ambitions. This move positions SpaceX strongly in the AI coding tools segment, competing with giants like OpenAI and Anthropic. Cursor, cofoun…","Silicon Valley-based artificial intelligence (AI) coding assistant Cursor, cofounded by 25-year-old Indian-origin entrepreneur Aman Sanger alongside three other Massachusetts Institute of Technology … [+4833 chars]",69,260
2026-06-16,Dailymail.com,Newly-single Tess Daly throws herself into work after split from Vernon Kay as she touches down in Greece to shoot her new summer collection,Newly-single Tess Daly looked happier than ever as she threw herself into work on Tuesday following her split from husband Vernon Kay.,"Newly-single Tess Daly looked happier than ever as she threw herself into work on Tuesday following her split from husband Vernon Kay. 
The former Strictly Come Dancing host, 57, stunned fans earlie… [+4429 chars]",140,134
2026-06-16,Viewfromthewing.com,Wheelchair Passenger Says British Airways Wouldn’t Let Her Fly New York – London Alone Because She Might Need Bathroom Help,"Wheelchair user Samanta Bullock says British Airways denied her boarding on a New York–London flight because she was traveling alone and might need help reaching the lavatory. She says American Airlines asked a similar question but still let her fly, while BA…","Samanta Bullock says British Airways denied her boarding on a New York – London flight because she was in a wheelchair traveling alone, and they said that crew could not help her get to the lavatory … [+3668 chars]",123,260
2026-06-16,The Times of India,"Your airplane seat could determine accident survival chances: Worst and best places to sit, finds research","Research into past aviation accidents suggests that passengers seated in certain places may have better chances of survival in certain crash scenarios. However, experts stress that no seat can guarantee safety because every accident is different. Studies, cra…","Commercial aviation is widely regarded as one of the safest forms of transport, with millions of people flying every day across the globe. Still, whenever a major aviation accident occurs, one questi… [+4685 chars]",106,260
2026-06-16,The Points Guy,Is the Chase Sapphire Preferred worth the annual fee in 2026? I say yes,Are you considering if the Chase Sapphire Preferred is worth the annual fee? Here are the reasons we believe the Sapphire Preferred is worth it in 2026.,"Whether you're a frequent traveler or a beginner to points and miles, there are many reasons the Chase Sapphire Preferred® Card (see rates and fees) is a great option for you.
But with a $95 annual … [+8043 chars]",71,152
2026-06-16,Travelcodex.com,Cincinnati Grows International Flights to London and Paris,Expanded London and Paris service gives CVG more nonstop access to Europe and signals renewed international flight demand in Cincinnati.,"Expanded London and Paris service gives CVG more nonstop access to Europe and signals renewed international flight demand in Cincinnati.
CVG’s International Flights Have Familiar Roots
Cincinnati/N… [+4228 chars]",58,136
2026-06-16,Livemint,Delhi airport defies regional turmoil: How IGIA recorded passenger growth in May 2026 despite West Asia conflict,"Delhi airport recorded 71,66,161 passengers in May 2026, a 14.7% increase over the same month last year. The performance stands in contrast to concerns that the conflict would significantly impact international travel demand and airline operations.","Even as the West Asia war continued in May 2026, Delhis Indira Gandhi International Airport (IGIA) continued its upward trajectory when compared to last May. Despite the ongoing conflict across West … [+4149 chars]",112,248
2026-06-16,Holidaypirates.com,Mauritius family holiday with direct British Airways flights ☀️,"Mateys, we have found this great holiday to Mauritius, staying for a week in the stunning 3⭐️ Le Palmiste Resort & Spa. You are just a short stroll from Trou aux Biches Beach, considered one of the best beaches on the island. You can easily walk out to discov…","Mateys, we have found this great holiday to Mauritius, staying for a week in the stunning 3 Le Palmiste Resort &amp; Spa. You are just a short stroll from Trou aux Biches Beach, considered one of the… [+433 chars]",63,260
2026-06-16,Holidaypirates.com,Half-board Mauritius holiday with direct British Airways flights ☀️,"Mateys, we have found this great holiday to Mauritius, staying for a week in the stunning 3⭐️ Le Palmiste Resort & Spa. You are just a short stroll from Trou aux Biches Beach, considered one of the best beaches on the island. You can easily walk out to discov…","Mateys, we have found this great holiday to Mauritius, staying for a week in the stunning 3 Le Palmiste Resort &amp; Spa. You are just a short stroll from Trou aux Biches Beach, considered one of the… [+470 chars]",67,260
2026-06-16,Time Out,A brand new rooftop food market has opened on top of one of west London’s mightiest landmarks,The £1.3 billion development of Olympia’s historic exhibition centre features a new food hall called Arbour,"There’s an awful lot happening in West Kensington right now.
Earlier this week, the historic Olympia exhibition centre began its lavish £1.3 billion relaunch, complete with a 3,800 capacity live mus… [+1625 chars]",93,107
2026-06-16,Holidaypirates.com,Antigua beachfront all-inclusive week with BA flights ,"Pirates, we’ve uncovered a fantastic Caribbean escape. This beachfront, all-inclusive week in Antigua comes in at UNDER £1k and includes direct British Airways flights. ☀️You’ll be staying at the popular Jolly Beach Antigua, an adults-focused retreat (child…","We might be pirates, but were an honest bunch. We check all our deals when we review them to make sure everything is available. However, with deals this hot, things change quicklyflight prices fluctu… [+462 chars]",54,258
2026-06-16,Financial Post,Respond.io Raises $62.5M Series B to Scale AI-Powered Customer Conversations Into North America and Europe,"62.5M Series B led by Camber Partners, with existing investors participating. Respond.io is profitable with $35M ARR, 169% year-over-year growth, and a 30% profit margin. New capital will fund expansion into and mergers and acquisitions within North America a…","<ul><li>62.5M Series B led by Camber Partners, with existing investors participating.</li><li>Respond.io is profitable with $35M ARR, 169% year-over-year growth, and a 30% profit margin.</li><li>New … [+7213 chars]",106,260
2026-06-16,RTE,Will the Iran ceasefire ease this summer's aviation squeeze?,"The ceasefire is good news, but the relief won't be felt by airlines or paying passengers until crude oil becomes jet fuel in plane tanks","Analysis: The ceasefire is good news, but the relief won't be felt by airlines or paying passengers until crude oil becomes jet fuel in plane tanks
When the United States and Iran announced a framew… [+9138 chars]",60,137
2026-06-16,New York Post,"Cellphone catches fire, ‘scorches cabin’ on British Airways flight en route to Las Vegas","A pilot was heard on air traffic control audio saying the mobile phone had ""scorched the inside of the cabin,"" but that the sparks were under control.","A cellphone caught fire and “scorched the cabin” aboard a British Airways flight en route to a Las Vegas, Nevada airport on Monday, according to authorities.
British Airways Flight 271 from London, … [+1446 chars]",88,150
2026-06-15,Business Insider,United confirms 'Eurobusiness' economy layout on its new Airbus A321XLRs,"The new premium-economy set-up resembles a ""Eurobusiness"" class and will likely come at an upcharge.","United Airlines is testing blocked middle seats on its Airbus A321XLRs. This could secure more revenue while simultaneously saving on labor costs.Joe Raedle/Getty Images
<ul><li>United Airlines plan… [+3989 chars]",72,100
2026-06-15,Theflightdeal.com,"American: Phoenix – Prague, Czechia. $706 (Basic Economy) / $926 (Regular Economy). Roundtrip, including all Taxes",A good sale to Prague with availability for late Summer travel.American / British Airways / Finnair / Iberia's $926 fare is a regular economy fare with ONE checked bag and a normal size carry-on i,"A good sale to Prague with availability for late Summer travel.
American / British Airways / Finnair / Iberias $926 fare is a regular economy fare with ONE checked bag and a normal size carry-on inc… [+5435 chars]",114,196
2026-06-15,Dailymail.com,Disabled model says British Airways stopped her flying with them because she was travelling by herself - and is now considering legal action,"Samanta Bullock, named one of the 100 most influential people with disabilities in the UK, has revealed the 'discrimination' she faced being denied boarding.","Disabled model Samanta Bullock has revealed she was not permitted to board a British Airways flight as she was travelling alone and was told crew could not assist her.
As a result, she is exploring … [+4586 chars]",140,157
